Chap	Verse	Chap	Verse	StartWord	Heading	Entry	Author	Page	Page	ISBN/URL	Category	Depth
0						Joshua and the remaining books of the Deuteronomic History are predominantly narrative	Polzin	73		816404569	Form	1
0						3-part division of the text	Polzin	73		816404569	Structure	1
1						Nothing happens except words in this chapter	Polzin	75		816404569	Form	3
1	3	1	5			"1:3-5a is almost a literal rendering of a part of Moses' second address preceding the lawcode: Deut 11:24, 25"	Polzin	75		816404569	cf	5
1	5	1	7			1:5c-7a is very close to Moses' words to Joshua in Deut 31:7-8	Polzin	75	76	816404569	cf	5
1	13	1	15			"Almost identical in content with Deut 3:18-20, but contains important phraseological differences that help us see the narrator's role more clearly"	Polzin	77		816404569	"Form, cf"	5
1	13	1	15			The identity of the land-giver shifts twice from the LORD to Moses	Polzin	78	79	816404569	Form	5
1						The theme of promise often repeats itself in this chapter	Polzin	79		816404569	Form	2
1		12				The first section of Joshua (1-12): How Joshua and Israel fulfilled the commands of the LORD	Polzin	80		816404569	"Form, Structure"	1
5	9					First of three instances of divine utterances which interpret or apply an existing authoritative word	Polzin	80		816404569	Form	3
7	11	7	12			Second of three instances of divine utterances which interpret or apply an existing authoritative word	Polzin	81		816404569	Form	3
8	2					Third of three instances of divine utterances which interpret or apply an existing authoritative word	Polzin	81		816404569	Form	3
8	2					God's words here are in direct conflict with the Mosaic rules for holy war found in Deut 20:15-18	Polzin	81	82	816404569	"Form, Interpretation"	5
2						The Rahab story is the temporal preview of the significance of the Israelite occupation	Polzin	88	89	816404569	Form	5
3	1	5	1			Josh 3:1-51 is the first occurrence of an especially important framing device in the book: the liturgical narrative	Polzin	92	93	816404569	Form	5
0						The literary structure of Joshua	Polzin	93		816404569	"Form, Structure"	3
6	1	6	27			6:1-27: A cultic narrative	Polzin	93		816404569	Form	1
8	30	8	35			8:30-35: A cultic narrative	Polzin	93		816404569	Form	1
13		21				Chapters 13-21: A cultic narrative	Polzin	93		816404569	Form	1
24	1	24	28			24:1-20: A cultic narrative	Polzin	94		816404569	Form	1
3						Chapter 3 consists of the first episode in the story	Polzin	95		816404569	Form	2
4	1	4	8			4:1-8 narrates the second episode in the story	Polzin	95		816404569	Form	2
